X,A,B,C,D
1,0.27,0.837855412,0.708902715,0.216396634
2,0.4,0.695636612,0.992154682,0.297966143
3,0.3,0.709307127,0.637573667,0.783824548
4,0.2,0.172759914,0.169973668,0.564246973
5,0.199,0.765314323,0.634999489,0.987383399
6,0.16612166,0.681951168,0.283340485,0.996431247
7,0.63081509,0.330827415,0.756077906,0.424437355
8,0.21269688,0.595276031,0.090804153,0.459293594
9,0.9444515,0.816657764,0.882309695,0.368860934
10,0.809167034,0.634992108,0.787663233,0.784341145
11,0.973098603,0.452212098,0.517080766,0.481505972
12,0.996824119,0.333587719,0.409173126,0.96029111
13,0.289593436,0.437035696,0.259334107,0.065566174
14,0.345414007,0.543639464,0.790269618,0.961531693
15,0.722572642,0.680070925,0.239487715,0.627159128
16,0.422652469,0.641282823,0.529881347,0.227372691
17,0.929237621,0.796430938,0.214557345,0.193346387
18,0.05711614,0.647776539,0.804485363,0.680216208
19,0.929778092,0.38082142,0.068972918,0.31974188
20,0.657190362,0.156397075,0.698180704,0.535191481
21,0.433865427,0.232260454,0.84920208,0.302296521
22,0.050908164,0.596068811,0.044948925,0.092032857
23,0.095307857,0.40077627,0.497115307,0.961182357
24,0.703890223,0.038368237,0.46746773,0.231263474
25,0.761316531,0.611892586,0.428493927,0.522340855
